region;total.fx;pcr;pcr.pos
Arica y Parinacota;698;50;8
Tarapacá;720;230;54
Antofagasta;902;93;11
Atacama;519;14;0
Coquimbo;737;43;4
Valparaíso;1696;74;13
O´Higgins;833;103;11
Maule;1490;66;16
Ñuble;727;41;8
Bío Bío;1724;135;17
Araucanía;1613;581;17
Los Ríos;576;37;0
Los Lagos;858;779;7
Aysén;375;4;0
Magallanes;360;20;1
Metropolitana;6668;668;668
Total;20496;2938;835
