region;total.ppl;pcr;pcr.pos
Arica y Parinacota;1645;9;0
Tarapacá;2350;120;43
Antofagasta;2182;309;48
Atacama;693;25;1
Coquimbo;2103;38;10
Valparaíso;4095;21;5
O´Higgins;2585;75;2
Maule;2112;67;6
Ñuble;808;11;0
Bío Bío;1852;37;2
Araucanía;1584;421;7
Los Ríos;1154;75;17
Los Lagos;1834;208;12
Aysén;216;3;0
Magallanes;412;7;0
Metropolitana;13942;1428;455
Total;39567;2854;608
